"iddes","langid","label"
155,"ar","Galician"
156,"ar","Manx"
157,"ar","German, Middle High (ca.1050-1500)"
158,"ar","German, Old High (ca.750-1050)"
159,"ar","Gondi"
160,"ar","Gorontalo"
161,"ar","Gothicanguage Association)"
162,"ar","Grebo"
163,"ar","Greek, Ancient (to 1453)"
164,"ar","Greek, Modern (1453-)"
165,"ar","Guarani"
166,"ar","Swiss German; Alemannic"
167,"ar","Gujarati"
168,"ar","Gwich'in"
169,"ar","Haida"
170,"ar","Haitian; Haitian Creole"
171,"ar","Hausa"
172,"ar","Hawaiian"
173,"ar","Hebrew"
174,"ar","Herero"
175,"ar","Hiligaynon"
176,"ar","Himachali"
177,"ar","Hindi"
178,"ar","Hittite"
179,"ar","Hmong"
180,"ar","Hiri Motu"
181,"ar","Upper Sorbian"
182,"ar","Hungarian"
183,"ar","Hupa"
184,"ar","Iban"
185,"ar","Igbo"
186,"ar","Icelandic"
187,"ar","Ido"
188,"ar","Sichuan Yi"
189,"ar","Ijo languages"
190,"ar","Inuktitut"
191,"ar","Interlingue"
192,"ar","Iloko"
193,"ar","Interlingua (International Auxiliary L"
194,"ar","Indic (Other)"
195,"ar","Indonesian"
196,"ar","Indo-European (Other)"
197,"ar","Ingush"
198,"ar","Inupiaq"
199,"ar","Iranian (Other)"
200,"ar","Iroquoian languages"
201,"ar","Italian"
202,"ar","Javanese"
203,"ar","Lojban"
204,"ar","Japanese"
205,"ar","Judeo-Persian"
206,"ar","Judeo-Arabic"
207,"ar","Kara-Kalpak"
208,"ar","Kabyle"
209,"ar","Kachin; Jingpho"
210,"ar","Kalaallisut; Greenlandic"
211,"ar","Kamba"
212,"ar","Kannada"
213,"ar","Karen languages"
214,"ar","Kashmiri"
215,"ar","Kanuri"
216,"ar","Kawi"
217,"ar","Kazakh"
218,"ar","Kabardian"
219,"ar","Khasi"
220,"ar","Khoisan (Other)"
221,"ar","Central Khmer"
222,"ar","Khotanese"
223,"ar","Kikuyu; Gikuyu"
224,"ar","Kinyarwanda"
225,"ar","Kirghiz; Kyrgyz"
226,"ar","Kimbundu"
227,"ar","Konkani"
228,"ar","Komi"
229,"ar","Kongo"
230,"ar","Korean"
231,"ar","Kosraean"
232,"ar","Kpelle"
233,"ar","Karachay-Balkar"
234,"ar","Karelian"
235,"ar","Kru languages"
236,"ar","Kurukh"
237,"ar","Kuanyama; Kwanyama"
238,"ar","Kumyk"
239,"ar","Kurdish"
240,"ar","Kutenai"
241,"ar","Ladino"
242,"ar","Lahnda"
243,"ar","Lamba"
244,"ar","Lao"
245,"ar","Latin"
246,"ar","Latvian"
247,"ar","Lezghian"
248,"ar","Limburgan; Limburger; Limburgish"
249,"ar","Lingala"
250,"ar","Lithuanian"
251,"ar","Mongo"
252,"ar","Lozi"
253,"ar","Luxembourgish; Letzeburgesch"
254,"ar","Luba-Lulua"
255,"ar","Luba-Katangaxon, Low"
256,"ar","Ganda"
257,"ar","Luiseno"
258,"ar","Lunda"
259,"ar","Luo (Kenya and Tanzania)"
260,"ar","Lushai"
261,"ar","Macedonian00E5l"
262,"ar","Madurese"
263,"ar","Magahi"
264,"ar","Marshallese"
265,"ar","Maithili"
266,"ar","Makasarl Nepal Bhasa"
267,"ar","Malayalam"
268,"ar","Mandingo"
269,"ar","Maori"
270,"ar","Austronesian (Other)"
271,"ar","Marathi"
272,"ar","Masai"
273,"ar","Malay"
274,"ar","Moksha"
275,"ar","Mandar"
276,"ar","Mende"
277,"ar","Irish, Middle (900-1200)"
278,"ar","Mi'kmaq; Micmac"
279,"ar","Minangkabau"
280,"ar","Miscellaneous languages"
281,"ar","Mon-Khmer (Other)"
282,"ar","Malagasy"
283,"ar","Maltese"
284,"ar","Manchu"
285,"ar","Manipuri"
286,"ar","Manobo languages"
287,"ar","Mohawk"
288,"ar","Moldavian"
289,"ar","Mongolian"
290,"ar","Mossi"
291,"ar","Multiple languages"
292,"ar","Munda languages"
293,"ar","Creek"
294,"ar","Mirandese"
295,"ar","Marwari"
296,"ar","Mayan languages"
297,"ar","Erzya"
298,"ar","Nahuatl languages"
299,"ar","North American Indian"
300,"ar","Neapolitan"
301,"ar","Nauru"
302,"ar","Navajo; Navaho"
303,"ar","Ndebele, South; South Ndebele"
304,"ar","Ndebele, North; North Ndebele"
305,"ar","Ndonga"
306,"ar","Low German; Low Saxon; German, Low; Sa"
307,"ar","Nepali"
308,"ar","Nepal Bhasa; Newari"
309,"ar","Nias"
310,"ar","Niger-Kordofanian (Other)"
311,"ar","Niuean"
312,"ar","Norwegian Nynorsk; Nynorsk, Norwegian"
313,"ar","Bokmål, Norwegian; Norwegian Bokmål"
314,"ar","Nogai"
315,"ar","Norse, Old"
316,"ar","Norwegian"
317,"ar","Pedi; Sepedi; Northern Sotho"
318,"ar","Nubian languages"
319,"ar","Classical Newari; Old Newari; Classica"
320,"ar","Chichewa; Chewa; Nyanja"
321,"ar","Nyamwezi"
322,"ar","Nyankole"
323,"ar","Nyoro"
324,"ar","Nzima"
325,"ar","Occitan (post 1500); Provençal"
326,"ar","Ojibwa"
327,"ar","Oriya"
328,"ar","Oromo"
329,"ar","Osage"
330,"ar","Ossetian; Ossetic"
331,"ar","Turkish, Ottoman (1500-1928)"
332,"ar","Otomian languages"
333,"ar","Papuan (Other)"
334,"ar","Pangasinan"
335,"ar","Pahlavi"
336,"ar","Pampanga"
337,"ar","Panjabi; Punjabi"
338,"ar","Papiamento"
339,"ar","Palauan"
340,"ar","Persian, Old (ca.600-400 B.C.)"
341,"ar","Persian"
342,"ar","Philippine (Other)"
343,"ar","Phoenician"
344,"ar","Pali"
345,"ar","Polish"
346,"ar","Pohnpeian"
347,"ar","Portuguese"
348,"ar","Prakrit languages"
349,"ar","Provençal, Old (to 1500)"
350,"ar","Pushto"
351,"ar","Reserved for local use"
352,"ar","Quechua"
353,"ar","Rajasthani"
354,"ar","Rapanui"
355,"ar","Rarotongan; Cook Islands Maori"
356,"ar","Romance (Other)"
357,"ar","Romansh"
358,"ar","Romany"
359,"ar","Romanian"
360,"ar","Rundi"
361,"ar","Aromanian; Arumanian; Macedo-Romanian"
362,"ar","Russian"
363,"ar","Sandawe"
364,"ar","Sango"
365,"ar","Yakut"
366,"ar","South American Indian (Other)"
367,"ar","Salishan languages"
368,"ar","Samaritan Aramaic"
369,"ar","Sanskrit"
370,"ar","Sasak"
371,"ar","Santali"
372,"ar","Serbian"
373,"ar","Sicilian"
374,"ar","Scots"
375,"ar","Croatian"
376,"ar","Selkup"
377,"ar","Semitic (Other)"
378,"ar","Irish, Old (to 900)"
379,"ar","Sign Languages"
380,"ar","Shan"
381,"ar","Sidamo"
382,"ar","Sinhala; Sinhalese"
383,"ar","Siouan languages"
384,"ar","Sino-Tibetan (Other)"
385,"ar","Slavic (Other)"
386,"ar","Slovak"
387,"ar","Slovenian"
388,"ar","Southern Sami"
389,"ar","Northern Sami"
390,"ar","Sami languages (Other)"
391,"ar","Lule Sami"
392,"ar","Inari Sami"
393,"ar","Samoan"
394,"ar","Skolt Sami"
395,"ar","Shona"
396,"ar","Sindhi"
397,"ar","Soninke"
398,"ar","Sogdian"
399,"ar","Somali"
400,"ar","Songhai languages"
401,"ar","Sotho, Southern"
402,"ar","Spanish; Castilian"
403,"ar","Sardinian; Zazaki"
404,"ar","Sranan Tongo"
405,"ar","Serer"
406,"ar","Nilo-Saharan (Other)"
407,"ar","Swati"
408,"ar","Sukuma"
409,"ar","Sundanese"
410,"ar","Susu"
411,"ar","Sumerian"
412,"ar","Swahili"
413,"ar","Swedish"
414,"ar","Syriac"
415,"ar","Tahitian"
416,"ar","Tai (Other)"
417,"ar","Tamil"
418,"ar","Tatar"
419,"ar","Telugu"
420,"ar","Timnendere)"
421,"ar","Tereno"
422,"ar","Tetum"
423,"ar","Tajik"
424,"ar","Tagalog"
425,"ar","Thai"
426,"ar","Tibetan"
427,"ar","Tigre"
428,"ar","Tigrinya"
429,"ar","Tiv"
430,"ar","Tokelau"
431,"ar","Klingon; tlhIngan-Hol"
432,"ar","Tlingit"
433,"ar","Tamashek"
434,"ar","Tonga (Nyasa)"
435,"ar","Tonga (Tonga Islands)"
436,"ar","Tok Pisin"
437,"ar","Tsimshian"
438,"ar","Tswana"
439,"ar","Tsonga"
440,"ar","Turkmen"
441,"ar","Tumbuka"
442,"ar","Tupi languages"
443,"ar","Turkish"
444,"ar","Altaic (Other)"
445,"ar","Tuvalu"
446,"ar","Twi"
447,"ar","Tuvinian"
448,"ar","Udmurt"
449,"ar","Ugaritic"
450,"ar","Uighur; Uyghur"
451,"ar","Ukrainian"
452,"ar","Umbundu"
453,"ar","Undetermined"
454,"ar","Urdu"
455,"ar","Uzbek"
456,"ar","Vai"
457,"ar","Venda"
458,"ar","Vietnamese"
459,"ar","Volapük"
460,"ar","Votic"
461,"ar","Wakashan languages"
462,"ar","Walamo"
463,"ar","Waray"
464,"ar","Washo"
465,"ar","Welsh"
466,"ar","Sorbian languages"
467,"ar","Walloon"
468,"ar","Wolof"
469,"ar","Kalmyk; Oirat"
470,"ar","Xhosa"
471,"ar","Yao"
472,"ar","Yapese"
473,"ar","Yiddish"
474,"ar","Yoruba"
475,"ar","Yupik languages"
476,"ar","Zapotec"
477,"ar","Zenaga"
478,"ar","Zhuang; Chuang"
479,"ar","Zande languages"
480,"ar","Zulu"
481,"ar","Zuni"
482,"ar","No linguistic content"
483,"ar","N'Ko"
484,"ar","Zaza; Dimili; Dimli; Kirdki; Kirmanjki"
1,"de","Danakil-Sprache"
2,"de","Abchasisch"
3,"de","Aceh-Sprache"
4,"de","Acholi-Sprache"
5,"de","Adangme-Sprache"
6,"de","Adygisch"
7,"de","Hamitosemitische Sprachen (Andere)"
8,"de","Afrihili"
9,"de","Afrikaans"
10,"de","Ainu-Sprache"
11,"de","Akan-Sprache"
12,"de","Akkadisch"
13,"de","Albanisch"
14,"de","Aleutisch"
15,"de","Algonkin-Sprachen (Andere)"
16,"de","Südaltaisch"
17,"de","Amharisch"
18,"de","Altenglisch"
19,"de","Anga-Sprache"
20,"de","Apachen-Sprache"
21,"de","Arabisch"
22,"de","Aramäisch"
23,"de","Aragonesisch"
24,"de","Armenisch"
25,"de","Arauka-Sprachen"
26,"de","Arapaho-Sprache"
27,"de","Kunstsprachen (Andere)"
28,"de","Arawak-Sprachen"
29,"de","Assamesisch"
30,"de","Asturisch"
31,"de","Athapaskische Sprachen"
32,"de","Australische Sprachen"
33,"de","Awarisch"
34,"de","Avestisch"
35,"de","Awadhi"
36,"de","Aymar?°-Sprache"
37,"de","Aserbaidschanisch"
38,"de","Banda-Sprachen"
39,"de","Bamileke-Sprache"
40,"de","Baschkirisch"
41,"de","Belutschisch"
42,"de","Bambara-Sprache"
43,"de","Balinesisch"
44,"de","Baskisch"
45,"de","Basaa-Sprache"
46,"de","Baltische Sprachen (Andere)"
47,"de","Bedauye"
48,"de","Wei?ürussisch"
49,"de","Bemba-Sprache"
50,"de","Bengali"
51,"de","Berbersprachen (Andere)"
52,"de","Bhojpuri"
53,"de","Bihari"
54,"de","Bikol"
55,"de","Edo-Sprache"
56,"de","Beach-la-mar"
57,"de","Blackfoot-Sprache"
58,"de","Bantusprachen (Andere)res langues"
59,"de","Bosnisch"
60,"de","Braj-Bhakha"
61,"de","Bretonisch"
62,"de","Batak-Sprache"
63,"de","Burjatisch"
64,"de","Bugi-Sprache"
65,"de","Bulgarisch"
66,"de","Birmanisch"
67,"de","Biliin-Sprache"
68,"de","Caddo-Sprachen"
69,"de","Indianersprachen. Zentralamerika (Ande"
70,"de","Karibische Sprachen"
71,"de","Katalanisch"
72,"de","Kaukasische Sprachen (Andere)avonic; Old Bulgarian; Old Church Slavonic"
73,"de","Cebuano"
74,"de","Keltische Sprachen (Andere)"
75,"de","Chamorro-Sprache"
76,"de","Chibcha-Sprachen"
77,"de","Tschetschenisch"
78,"de","Chagatai"
79,"de","Chinesisch(Other)"
80,"de","Trukesisch"
81,"de","Tscheremissisch"
82,"de","Chinook Jargon"
83,"de","Choctaw-Sprache"
84,"de","Chipewyan-Sprache"
85,"de","Cherokee-Sprache"
86,"de","Kirchenslawisch"
87,"de","Tschuwaschisch"
88,"de","Cheyenne-Sprache"
89,"de","Cham-Sprachen"
90,"de","Koptisch"
91,"de","Kornisch"
92,"de","Korsisch"
93,"de","Kreolisch-Englisch (Andere)"
94,"de","Kreolisch-Französisch (Andere)"
95,"de","Kreolisch-Portugiesisch (Andere)"
96,"de","Cree-Sprache"
97,"de","Krimtatarisch"
98,"de","Kreolische Sprachen; Pidginsprachen (A"
99,"de","Kaschubisch"
100,"de","Kuschitische Sprachen (Andere)"
101,"de","Tschechisch"
102,"de","Dakota-Sprache"
103,"de","Dänisch"
104,"de","Darginisch"
105,"de","Dajakisch"
106,"de","Delaware-Sprache"
107,"de","Slave-Sprache"
108,"de","Dogrib-Sprache"
109,"de","Dinka-Sprache"
110,"de","Maledivisch"
111,"de","Dogri"
112,"de","Drawidische Sprachen (Andere)"
113,"de","Niedersorbisch"
114,"de","Duala-Sprachen"
115,"de","Mittelniederländisch"
116,"de","Niederländisch"
117,"de","Dyula-Sprache"
118,"de","Dzongkha"
119,"de","Efik"
120,"de","Ägyptisch"
121,"de","Ekajuk"
122,"de","Elamisch"
123,"de","Englisch"
124,"de","Mittelenglisch"
125,"de","Esperanto"
126,"de","Estnisch"
127,"de","Ewe-Sprache"
128,"de","Ewondos"
129,"de","Pangwe-Sprache"
130,"de","Färöisch"
131,"de","Fante-Sprache"
132,"de","Fidschi-Sprache"
133,"de","Pilipino"
134,"de","Finnisch"
135,"de","Finnougrische Sprache (Andere)"
136,"de","Fon-Sprache"
137,"de","Französisch"
138,"de","Mittelfranzösisch"
139,"de","Altfranzösisch"
140,"de","Nordfriesisch"
141,"de","Ostfriesisch"
142,"de","Friesisch"
143,"de","Ful"
144,"de","Friulisch"
145,"de","Ga-Sprache"
146,"de","Gayo-Sprache"
147,"de","Gbaya-Sprache"
148,"de","Germanische Sprachen (Andere)"
149,"de","Georgisch"
150,"de","Deutsch"
151,"de","Altäthiopisch"
152,"de","Gilbertesisch"
153,"de","Gälisch-Schottisch"
154,"de","Irisch"
155,"de","Galicisch"
156,"de","Manx"
157,"de","Mittelhochdeutsch"
158,"de","Althochdeutsch"
159,"de","Gondi-Sprache"
160,"de","Gorontalesisch"
161,"de","Gotischanguage Association)"
162,"de","Grebo-Sprache"
163,"de","Griechisch"
164,"de","Neugriechisch"
165,"de","Guaranö-Sprache"
166,"de","Schweizerdeutsch"
167,"de","Gujarati-Sprache"
168,"de","Kutchin-Sprache"
169,"de","Haida-Sprache"
170,"de","Haitien"
171,"de","Haussa-Sprache"
172,"de","Hawaiisch"
173,"de","Hebräisch"
174,"de","Herero-Sprache"
175,"de","Hiligaynon-Sprache"
176,"de","Himachali"
177,"de","Hindi"
178,"de","Hethitisch"
179,"de","Miao-Sprachen"
180,"de","Hiri Motu"
181,"de","Obersorbisch"
182,"de","Ungarisch"
183,"de","Hupa-Sprache"
184,"de","Iban-Sprache"
185,"de","Ibo-Sprache"
186,"de","Isländisch"
187,"de","Ido"
188,"de","Lalo-Sprache"
189,"de","Ijo-Sprache"
190,"de","Inuktitut"
191,"de","Interlingue"
192,"de","Ilokano-Sprache"
193,"de","Interlingua (International Auxiliary L"
194,"de","Indoarische Sprqachen (Andere)"
195,"de","Bahasa Indonesia"
196,"de","Indogermanische Sprachen (Andere)"
197,"de","Inguschisch"
198,"de","Inupik"
199,"de","Iranische Sprachen (Andere)"
200,"de","Irokesische Sprachen (Andere)"
201,"de","Italienisch"
202,"de","Javanisch"
203,"de","Lojban"
204,"de","Japanisch"
205,"de","Jüdisch-Persisch"
206,"de","Jüdisch Arabisch"
207,"de","Karakalpakisch"
208,"de","Kabylisch"
209,"de","Kachin-Sprache"
210,"de","Grönländisch"
211,"de","Kamba-Sprache"
212,"de","Kannada"
213,"de","Karenisch"
214,"de","Kaschmiri"
215,"de","Kanuri-Sprache"
216,"de","Kawi"
217,"de","Kasachisch"
218,"de","Kabardinisch"
219,"de","Khasi-Sprache"
220,"de","Khoisan-Sprache (Andere)"
221,"de","Kambodschanisch"
222,"de","Sakisch"
223,"de","Kikuyu-Sprache"
224,"de","Rwanda-Sprache"
225,"de","Kirgisisch"
226,"de","Kimbundu-Sprache"
227,"de","Konkani"
228,"de","Komi-Sprache"
229,"de","Kongo-Sprache"
230,"de","Koreanisch"
231,"de","Kosraeanisch"
232,"de","Kpelle-Sprache"
233,"de","Karatschaiisch-Balkarisch"
234,"de","Karelisch"
235,"de","Kru-Sprachen"
236,"de","Oraon-Sprache"
237,"de","Kwanyama-Sprache"
238,"de","Kumükisch"
239,"de","Kurdisch"
240,"de","Kutenai-Sprache"
241,"de","Judenspanisch"
242,"de","Lahnda"
243,"de","Lamba-Sprache <Bantusprache>"
244,"de","Laotisch"
245,"de","Latein"
246,"de","Lettisch"
247,"de","Lesgisch"
248,"de","Limburgisch"
249,"de","Lingala"
250,"de","Litauisch"
251,"de","Mongo-Sprache"
252,"de","Rotse-Spache"
253,"de","Luxemburgisch"
254,"de","Lulua-Sprache"
255,"de","Luba-Katanga-Sprachexon, Low"
256,"de","Ganda-Sprache"
257,"de","Luise?±o-Sprache"
258,"de","Lunda-Sprache"
259,"de","Luo-Sprache"
260,"de","Lushai-Sprache"
261,"de","Makedonisch00E5l"
262,"de","Maduresisch"
263,"de","Khotta"
264,"de","Marschallesisch"
265,"de","Maithili"
266,"de","Makassarischl Nepal Bhasa"
267,"de","Malayalam"
268,"de","Malinke Sprache"
269,"de","Maori-Sprache"
270,"de","Austronesische Sprachen (Andere)"
271,"de","Marathi"
272,"de","Massai-Sprache"
273,"de","Malaiisch"
274,"de","Mokscha-Sprache"
275,"de","Mandaresisch"
276,"de","Mende-Sprache"
277,"de","Mittelirisch"
278,"de","Micmac-Sprache"
279,"de","Minangkabau-Sprache"
280,"de","Einzelne andere Sprachen"
281,"de","Mon-Khmer-Sprachen (Andere)"
282,"de","Malagassi-Sprache"
283,"de","Maltesisch"
284,"de","Mandschurisch"
285,"de","Meithei-Sprache"
286,"de","Manobo-Sprache"
287,"de","Mohawk-Sprache"
288,"de","Moldauisch"
289,"de","Mongolisch"
290,"de","Mossi-Sprache"
291,"de","Mehrere Sprachen"
292,"de","Mundasprachen (Andere)"
293,"de","Muskogisch"
294,"de","Mirandesisch"
295,"de","Marwari"
296,"de","Maya-Sprachen"
297,"de","Erza-Mordwinisch"
298,"de","Nahuatl"
299,"de","Indianersprachen, Nordamerika (Andere)"
300,"de","Neapel, Mundart"
301,"de","Nauranisch"
302,"de","Navajo-Sprache"
303,"de","Ndebele-Sprache (Transvaaal)"
304,"de","Ndebele-Sprache (Simbabwe)"
305,"de","Ndonga"
306,"de","Niederdeutsch"
307,"de","Nepali"
308,"de","Newari"
309,"de","Nias-Sprache"
310,"de","Nigerkordofanische Sprache (Andere)"
311,"de","Niue-Sprache"
312,"de","Nynorsk"
313,"de","Bokmal"
314,"de","Nogaisch"
315,"de","Altnorwegisch"
316,"de","Norwegisch"
317,"de","Pedi-Sprache"
318,"de","Nubische Sprachen"
319,"de","Alt-Newari"
320,"de","Nyanja-Sprache"
321,"de","Nyamwezi-Sprache"
322,"de","Nkole-Sprache"
323,"de","Nyoro-Sprache"
324,"de","Nzima-Sprache"
325,"de","Okzitanisch"
326,"de","Ojibwa-Sprache"
327,"de","Oriya-Sprache"
328,"de","Galla-Sprache"
329,"de","Osage-Sprache"
330,"de","Ossetisch"
331,"de","Osmanisch"
332,"de","Otomangue-Sprachen"
333,"de","Papuasprachen (Andere)"
334,"de","Pangasinan-Sprache"
335,"de","Mittelpersisch"
336,"de","Pampanggan-Sprache"
337,"de","Pandschabi-Sprache"
338,"de","Papiamento"
339,"de","Palau-Sprache"
340,"de","Altpersisch"
341,"de","Persisch"
342,"de","Philippinen-Austronesisch (Andere)"
343,"de","Phönikisch"
344,"de","Pali"
345,"de","Polnisch"
346,"de","Ponapeanisch"
347,"de","Portugiesisch"
348,"de","Prakrit"
349,"de","Altokzitanisch"
350,"de","Paschtu"
351,"de","Reserviert für den lokalen Gebrauch"
352,"de","Quechua-Sprache"
353,"de","Rajasthani"
354,"de","Osterinsel-Sprache"
355,"de","Rarotonganisch"
356,"de","Romanische Sprachen (Andere)"
357,"de","Rätoromanisch"
358,"de","Romani Sprache"
359,"de","Rumänisch"
360,"de","Rundi-Sprache"
361,"de","Aromanian; Arumanian; Macedo-Romanian"
362,"de","Russisch"
363,"de","Sandawe-Sprache"
364,"de","Sango-Sprache"
365,"de","Jakutisch"
366,"de","Indianersprachen, Südamerika (Andere)"
367,"de","Salish-Sprache"
368,"de","Samaritanisch"
369,"de","Sanskrit"
370,"de","Sasak"
371,"de","Santali"
372,"de","Serbisch"
373,"de","Sizilianisch"
374,"de","Schottisch"
375,"de","Kroatisch"
376,"de","Selkupisch"
377,"de","Semitische Sprachen (Andere)"
378,"de","Altirisch"
379,"de","Zeichensprache"
380,"de","Schan-Sprache"
381,"de","Sidamo-Sprache"
382,"de","Singhalesisch"
383,"de","Sioux-Sprachen"
384,"de","Sinotibetische Sprachen (Andere)"
385,"de","Slawische Sprachen (Andere)"
386,"de","Slowakisch"
387,"de","Slowenisch"
388,"de","Südsaamisch"
389,"de","Nordsaamisch"
390,"de","Saamisch (Andere)"
391,"de","Lulesaamisch"
392,"de","Inarisaamisch"
393,"de","Samoanisch"
394,"de","Skoltsaamisch"
395,"de","Schona-Sprache"
396,"de","Sindhi-Sprache"
397,"de","Soninke-Sprache"
398,"de","Sogdisch"
399,"de","Somali"
400,"de","Songhai-Sprache"
401,"de","Süd-Sotho-Sprache"
402,"de","Spanisch"
403,"de","Sardisch"
404,"de","Sranantongo"
405,"de","Serer-Sprache"
406,"de","Nilosaharanische Sprachen (Andere)"
407,"de","Swasi-Sprache"
408,"de","Sukuma-Sprache"
409,"de","Sundanesisch"
410,"de","Susu"
411,"de","Sumerisch"
412,"de","Swahili"
413,"de","Schwedisch"
414,"de","Syrisch"
415,"de","Tahitisch"
416,"de","Thaisprachen (Andere)"
417,"de","Tamil"
418,"de","Tatarisch"
419,"de","Telugu-Sprache"
420,"de","Temne-Sprache"
421,"de","Tereno-Sprache"
422,"de","Tetum-Sprache"
423,"de","Tadschikisch"
424,"de","Tagalog"
425,"de","Thailändisch"
426,"de","Tibetisch"
427,"de","Tigre-Sprachen"
428,"de","Tigrinja-Sprache"
429,"de","Tiv-Sprache"
430,"de","Tokelauanisch"
431,"de","Klingonisch"
432,"de","Tlingit-Sprache"
433,"de","Tamaseq"
434,"de","Tonga (Bantusprache,Malawi)"
435,"de","Tongaisch"
436,"de","Neumelanesischanguage Association)"
437,"de","Tsimshian-Sprache"
438,"de","Tswana-Sprache"
439,"de","Tsonga-Sprache"
440,"de","Turkmenisch"
441,"de","Tumbuka-Sprache"
442,"de","Tupi-Sprache"
443,"de","Türkisch"
444,"de","Altaische Sprachen (Andere)"
445,"de","Elliceanisch"
446,"de","Twi-Sprache"
447,"de","Tuwinisch"
448,"de","Udumurtisch"
449,"de","Ugaritisch"
450,"de","Uigurisch"
451,"de","Ukrainisch"
452,"de","Mbundu-Sprache"
453,"de","Nicht zu entscheiden"
454,"de","Urdu"
455,"de","Usbekisch"
456,"de","Vai-Sprache"
457,"de","Venda-Sprache"
458,"de","Vietnamesisch"
459,"de","Volapük"
